t,C,sigma,norm
377,1.1057494635030035e-08,0.0,0.09045924218698244
378,1.157453496962682e-08,0.0,0.09029212718656023
379,1.2113795273353392e-08,0.0,0.09012564845191351
380,1.2676144145736212e-08,0.0,0.08995980184175172
381,1.32624806473422e-08,0.0,0.08979458325315755
382,1.3873735239562172e-08,0.0,0.08962998862112782
383,1.4510870749149014e-08,0.0,0.08946601391812092
384,1.5174883358038915e-08,0.0,0.08930265515361073
385,1.586680361899226e-08,0.0,0.08913990837364745
386,1.658769749759896e-08,0.0,0.08897776966042434
387,1.7338667441201228e-08,0.0,0.08881623513185109
388,1.8120853475295254e-08,0.0,0.0886553009411331
389,1.8935434327981404e-08,0.0,0.08849496327635707
390,1.9783628583041164e-08,0.0,0.08833521836008228
391,2.0666695862227548e-08,0.0,0.08817606244893796
392,2.1585938037364055e-08,0.0,0.08801749183322623
393,2.254270047285608e-08,0.0,0.08785950283653085
394,2.3538373299227122e-08,0.0,0.08770209181533148
395,2.4574392718300905e-08,0.0,0.08754525515862331
396,2.5652242340659398e-08,0.0,0.08738898928754221
397,2.677345455601511e-08,0.0,0.0872332906549952
398,2.7939611937145446e-08,0.0,0.08707815574529587
399,2.9152348678045127e-08,0.0,0.08692358107380523
400,3.041335206696232e-08,0.0,0.08676956318657736
401,3.1724363994992206e-08,0.0,0.08661609866001015
402,3.3087182500911795e-08,0.0,0.08646318410050073
403,3.450366335294754e-08,0.0,0.08631081614410598
404,3.5975721668177855e-08,0.0,0.08615899145620738
405,3.7505333570280206e-08,0.0,0.08600770673118077
406,3.90945378863431e-08,0.0,0.08585695869207066
407,4.0745437883471116e-08,0.0,0.08570674409026863
408,4.246020304592137e-08,0.0,0.08555705970519675
409,4.4241070893518554e-08,0.0,0.08540790234399487
410,4.609034884210498e-08,0.0,0.0852592688412123
411,4.801041610679154e-08,0.0,0.08511115605850382
412,5.00037256487847e-08,0.0,0.08496356088432958
413,5.207280616657391e-08,0.0,0.08481648023365929
414,5.422026413227377e-08,0.0,0.08466991104768025
415,5.644878587392343e-08,0.0,0.08452385029350937
416,5.8761139704556825e-08,0.0,0.08437829496390913
417,6.116017809886515e-08,0.0,0.08423324207700719
418,6.364883991828373e-08,0.0,0.08408868867601993
419,6.623015268534394e-08,0.0,0.0839446318289795
420,6.89072349081411e-08,0.0,0.0838010686284647
421,7.168329845577807e-08,0.0,0.08365799619133522
422,7.456165098565427e-08,0.0,0.08351541165846954
423,7.754569842347944e-08,0.0,0.08337331219450635
424,8.063894749690013e-08,0.0,0.08323169498758914
425,8.384500832363781e-08,0.0,0.0830905572491144
426,8.716759705504561e-08,0.0,0.08294989621348299
427,9.061053857600143e-08,0.0,0.08280970913785478
428,9.417776926206354e-08,0.0,0.0826699933019065
429,9.78733397948257e-08,0.0,0.0825307460075928
430,1.0170141803641691e-07,0.0,0.08239196457891029
431,1.0566629196410137e-07,0.0,0.08225364636166477
432,1.0977237266594351e-07,0.0,0.08211578872324135
433,1.1402419739851238e-07,0.0,0.08197838905237763
434,1.1842643270760898e-07,0.0,0.08184144475893979
435,1.2298387761301028e-07,0.0,0.08170495327370149
436,1.277014668582321e-07,0.0,0.0815689120481256
437,1.3258427422632366e-07,0.0,0.08143331855414883
438,1.3763751592271465e-07,0.0,0.08129817028396903
439,1.4286655402614648e-07,0.0,0.0811634647498351
440,1.482769000087279e-07,0.0,0.08102919948383983
441,1.5387421832616453e-07,0.0,0.08089537203771498
442,1.596643300792213e-07,0.0,0.08076197998262935
443,1.656532167474867e-07,0.0,0.08062902090898913
444,1.7184702399651586e-07,0.0,0.08049649242624077
445,1.7825206555943935e-07,0.0,0.08036439216267653
446,1.8487482719413405e-07,0.0,0.08023271776524218
447,1.9172197071706066e-07,0.0,0.08010146689934733
448,1.9880033811488323e-07,0.0,0.07997063724867799
449,2.0611695573499284e-07,0.0,0.07984022651501149
450,2.1367903855606762e-07,0.0,0.07971023241803378
451,2.2149399453981284e-07,0.0,0.07958065269515878
452,2.2956942906502794e-07,0.0,0.07945148510135021
453,2.3791314944516198e-07,0.0,0.07932272740894544
454,2.465331695305252e-07,0.0,0.07919437740748159
455,2.554377143963323e-07,0.0,0.07906643290352369
456,2.6463522511776395e-07,0.0,0.07893889172049505
457,2.741343636332404e-07,0.0,0.07881175169850954
458,2.8394401769710986e-07,0.0,0.07868501069420605
459,2.9407330592296226e-07,0.0,0.07855866658058497
460,3.0453158291878893e-07,0.0,0.07843271724684646
461,3.153284445152159e-07,0.0,0.07830716059823097
462,3.264737330880473e-07,0.0,0.07818199455586139
463,3.3797754297636264e-07,0.0,0.07805721705658733
464,3.4985022599742253e-07,0.0,0.07793282605283113
465,3.621023970596416e-07,0.0,0.0778088195124357
466,3.747449398748993e-07,0.0,0.07768519541851444
467,3.8778901277146477e-07,0.0,0.07756195176930251
468,4.012460546088196e-07,0.0,0.07743908657801027
469,4.1512779079567254e-07,0.0,0.07731659787267821
470,4.294462394124648e-07,0.0,0.07719448369603377
471,4.4421371743967486e-07,0.0,0.07707274210534977
472,4.5944284709323656e-07,0.0,0.07695137117230441
473,4.7514656226839545e-07,0.0,0.0768303689828432
474,4.913381150933296e-07,0.0,0.07670973363704219
475,5.080310825938766e-07,0.0,0.07658946324897295
476,5.252393734707058e-07,0.0,0.07646955594656928
477,5.429772349902921e-07,0.0,0.07635000987149516
478,5.612592599910458e-07,0.0,0.07623082317901451
479,5.801003940059633e-07,0.0,0.07611199403786235
480,5.995159425031749e-07,0.0,0.07599352063011736
481,6.195215782457613e-07,0.0,0.07587540115107613
482,6.401333487722266e-07,0.0,0.07575763380912875
483,6.613676839990203e-07,0.0,0.07564021682563578
484,6.832414039465026e-07,0.0,0.0755231484348067
485,7.057717265897574e-07,0.0,0.07540642688357975
486,7.289762758356607e-07,0.0,0.0752900504315032
487,7.528730896276255e-07,0.0,0.0751740173506178
488,7.774806281794323e-07,0.0,0.07505832592534077
489,8.028177823395847e-07,0.0,0.07494297445235105
490,8.289038820876117e-07,0.0,0.07482796124047578
491,8.557587051637624e-07,0.0,0.07471328461057805
492,8.834024858335251e-07,0.0,0.07459894289544622
493,9.118559237884304e-07,0.0,0.07448493443968396
494,9.411401931845795e-07,0.0,0.07437125759960206
495,9.712769518203623e-07,0.0,0.0742579107431111
496,1.0022883504548262e-06,0.0,0.07414489224961546
497,1.0341970422681556e-06,0.0,0.07403220050990857
498,1.0670261924657418e-06,0.0,0.07391983392606911
499,1.1007994880273121e-06,0.0,0.07380779091135872
500,1.1355411476025994e-06,0.0,0.07369606989012047
501,1.1712759315550331e-06,0.0,0.07358466929767875
502,1.2080291521549403e-06,0.0,0.07347358758024004
503,1.2458266839237482e-06,0.0,0.07336282319479498
504,1.284694974130675e-06,0.0,0.07325237460902144
505,1.3246610534434167e-06,0.0,0.07314224030118854
506,1.3657525467343184e-06,0.0,0.07303241876006193
507,1.4079976840435421e-06,0.0,0.07292290848481
508,1.4514253117007328e-06,0.0,0.07281370798491102
509,1.4960649036066901e-06,0.0,0.07270481578006154
510,1.541946572676561e-06,0.0,0.07259623040008557
511,1.5891010824460603e-06,0.0,0.07248795038484485
512,1.6375598588422397e-06,0.0,0.07237997428415005
513,1.6873550021203242e-06,0.0,0.07227230065767296
514,1.738519298968125e-06,0.0,0.07216492807485966
515,1.791086234779559e-06,0.0,0.07205785511484451
516,1.845090006098795e-06,0.0,0.07195108036636522
517,1.9005655332365493e-06,0.0,0.07184460242767868
518,1.9575484730600545e-06,0.0,0.07173841990647785
519,2.016075231958222e-06,0.0,0.07163253141980945
520,2.07618297898354e-06,0.0,0.07152693559399245
521,2.137909659172214e-06,0.0,0.0714216310645376
522,2.2012940070440885e-06,0.0,0.07131661647606775
523,2.2663755602838766e-06,0.0,0.07121189048223896
524,2.3331946736052207e-06,0.0,0.07110745174566244
525,2.401792532799106e-06,0.0,0.07100329893782747
526,2.4722111689681753e-06,0.0,0.07089943073902497
527,2.5444934729484363e-06,0.0,0.07079584583827192
528,2.6186832099199235e-06,0.0,0.0706925429332366
529,2.694825034207809e-06,0.0,0.07058952073016461
530,2.7729645042754987e-06,0.0,0.0704867779438057
531,2.853148097911238e-06,0.0,0.0703843132973412
532,2.93542322760974e-06,0.0,0.07028212552231244
