t,C,sigma,norm
362,0.997759668251421,1.0,0.06653950136162891
363,0.99776455052407,1.0,0.06641234456828303
364,0.9977694027926014,1.0,0.06628569389737342
365,0.9977742253489751,1.0,0.06615954590627049
366,0.9977790184812905,1.0,0.06603389718563311
367,0.997783782473851,1.0,0.0659087443589932
368,0.9977885176072274,1.0,0.06578408408234653
369,0.9977932241583178,1.0,0.06565991304374998
370,0.9977979024004103,1.0,0.06553622796292476
371,0.9978025526032396,1.0,0.0654130255908656
372,0.9978071750330482,1.0,0.06529030270945597
373,0.9978117699526413,1.0,0.06516805613108903
374,0.9978163376214434,1.0,0.0650462826982942
375,0.9978208782955513,1.0,0.06492497928336947
376,0.9978253922277922,1.0,0.06480414278801902
377,0.9978298796677713,1.0,0.0646837701429964
378,0.9978343408619259,1.0,0.06456385830775291
379,0.9978387760535757,1.0,0.06444440427009118
380,0.9978431854829738,1.0,0.06432540504582397
381,0.9978475693873526,1.0,0.06420685767843778
382,0.9978519280009752,1.0,0.0640887592387617
383,0.9978562615551769,1.0,0.06397110682464086
384,0.9978605702784188,1.0,0.06385389756061464
385,0.997864854396325,1.0,0.06373712859759992
386,0.9978691141317335,1.0,0.06362079711257834
387,0.9978733497047344,1.0,0.06350490030828877
388,0.9978775613327171,1.0,0.06338943541292356
389,0.9978817492304091,1.0,0.0632743996798297
390,0.9978859136099167,1.0,0.06315979038721396
391,0.9978900546807689,1.0,0.06304560483785238
392,0.9978941726499523,1.0,0.06293184035880392
393,0.9978982677219543,1.0,0.06281849430112804
394,0.9979023400987982,1.0,0.06270556403960661
395,0.9979063899800807,1.0,0.06259304697246944
396,0.9979104175630125,1.0,0.06248094052112377
397,0.9979144230424476,1.0,0.0623692421298878
398,0.9979184066109256,1.0,0.0622579492657277
399,0.9979223684587013,1.0,0.0621470594179984
400,0.9979263087737835,1.0,0.06203657009818804
401,0.9979302277419633,1.0,0.06192647883966604
402,0.997934125546851,1.0,0.06181678319743445
403,0.9979380023699068,1.0,0.06170748074788313
404,0.997941858390474,1.0,0.0615985690885479
405,0.9979456937858079,1.0,0.06149004583787232
406,0.9979495087311081,1.0,0.06138190863497278
407,0.9979533033995482,1.0,0.061274155139406504
408,0.9979570779623057,1.0,0.06116678303094315
409,0.9979608325885901,1.0,0.06105979000933917
410,0.9979645674456729,1.0,0.06095317379411554
411,0.9979682826989144,1.0,0.060846932124338275
412,0.9979719785117911,1.0,0.060741062758402145
413,0.9979756550459242,1.0,0.06063556347381712
414,0.9979793124611048,1.0,0.06053043206699785
415,0.9979829509153212,1.0,0.06042566635305589
416,0.9979865705647837,1.0,0.060321264165594815
417,0.9979901715639498,1.0,0.06021722335650792
418,0.9979937540655509,1.0,0.06011354179577881
419,0.997997318220613,1.0,0.06001021737128455
420,0.9980008641784843,1.0,0.05990724798860149
421,0.9980043920868571,1.0,0.059804631570813525
422,0.9980079020917919,1.0,0.05970236605832311
423,0.9980113943377379,1.0,0.059600449408664644
424,0.9980148689675591,1.0,0.05949887959632029
425,0.998018326122552,1.0,0.059397654612538354
426,0.9980217659424718,1.0,0.05929677246515384
427,0.9980251885655504,1.0,0.05919623117841158
428,0.9980285941285182,1.0,0.0590960287927915
429,0.9980319827666249,1.0,0.05899616336483624
430,0.9980353546136598,1.0,0.05889663296698103
431,0.9980387098019726,1.0,0.05879743568738566
432,0.9980420484624909,1.0,0.05869856962976882
433,0.9980453707247411,1.0,0.05860003291324436
434,0.9980486767168664,1.0,0.05850182367215981
435,0.9980519665656468,1.0,0.058403940055936916
436,0.9980552403965158,1.0,0.05830638022891422
437,0.99805849833358,1.0,0.05820914237019166
438,0.9980617404996349,1.0,0.05811222467347713
439,0.9980649670161856,1.0,0.05801562534693503
440,0.9980681780034589,1.0,0.05791934261303676
441,0.998071373580427,1.0,0.05782337470841292
442,0.9980745538648168,1.0,0.05772771988370772
443,0.9980777189731319,1.0,0.05763237640343487
444,0.9980808690206661,1.0,0.05753734254583549
445,0.9980840041215205,1.0,0.05744261660273779
