t,peak,symmetry_error,chi,norm
449,1.1203234237,0.0053842887,0.0119148373,4.7603836931
450,1.1213116766,0.0055410511,0.0134478491,4.7621340792
451,1.1222394769,0.0055142308,0.0140453029,4.7633837577
452,1.1227362492,0.0054968237,0.0160523708,4.7649943341
453,1.1226947905,0.0055707715,0.0115122773,4.7653988456
454,1.1231651009,0.0054623239,0.0103209638,4.7655742480
455,1.1228016382,0.0051951087,0.0080240849,4.7655502760
456,1.1236694781,0.0051001797,0.0077196848,4.7654136149
457,1.1244993583,0.0050112586,0.0176277659,4.7676253196
458,1.1245128797,0.0050127535,0.0115942969,4.7681968537
459,1.1260501130,0.0051173469,0.0157773330,4.7702927096
460,1.1262012473,0.0052356182,0.0057726535,4.7696636658
461,1.1257315153,0.0049446549,0.0026967931,4.7679423428
462,1.1260223316,0.0050832647,0.0069643621,4.7675721192
463,1.1272440769,0.0051901141,0.0175038094,4.7694654465
464,1.1280997009,0.0052424917,0.0171267717,4.7711349665
465,1.1288840658,0.0051337145,0.0135937853,4.7723458321
466,1.1287774230,0.0051243291,0.0081495833,4.7721746226
467,1.1295246671,0.0051842426,0.0113721473,4.7732407570
468,1.1300296369,0.0051961191,0.0105707497,4.7730745233
469,1.1303068222,0.0051927374,0.0103441279,4.7738107301
470,1.1295776353,0.0049828756,0.0000000000,4.7715628737
471,1.1295986900,0.0047409154,0.0078819533,4.7712551870
472,1.1296777274,0.0044200456,0.0110874774,4.7718541556
473,1.1310824171,0.0044960466,0.0192788534,4.7740899186
474,1.1309422622,0.0044460814,0.0127715667,4.7749665635
475,1.1315293604,0.0045115079,0.0187242638,4.7771069850
476,1.1313344177,0.0044194275,0.0101102068,4.7775567491
477,1.1319039451,0.0042935917,0.0107870948,4.7778329311
478,1.1309748123,0.0043565705,0.0000000000,4.7760453667
479,1.1317880037,0.0046033773,0.0142239856,4.7778294939
480,1.1321927437,0.0044895491,0.0146260592,4.7792820335
481,1.1335347981,0.0046771829,0.0204660435,4.7821552735
482,1.1336261934,0.0048730705,0.0096635462,4.7819191563
483,1.1344681653,0.0050373337,0.0124519399,4.7829116724
484,1.1343694147,0.0046893472,0.0086134658,4.7830373071
485,1.1344200650,0.0046902180,0.0063539661,4.7823609398
486,1.1347283920,0.0047839760,0.0085770818,4.7820493366
487,1.1356293529,0.0048189972,0.0103440071,4.7827536815
488,1.1366069812,0.0047505399,0.0185061025,4.7856096431
489,1.1371128166,0.0048692177,0.0120106157,4.7870971967
490,1.1368298543,0.0047243445,0.0082053849,4.7868019555
491,1.1378635088,0.0047387274,0.0126810136,4.7880669999
492,1.1389745012,0.0046254414,0.0130443425,4.7894908370
493,1.1387631096,0.0044463705,0.0087540861,4.7895342314
494,1.1394158752,0.0043922498,0.0174875214,4.7917592908
495,1.1386313641,0.0044913825,0.0029359253,4.7901044877
496,1.1382671122,0.0047079494,0.0109749858,4.7898705781
497,1.1388958902,0.0048857687,0.0151923171,4.7917916143
498,1.1387870848,0.0049351853,0.0055755239,4.7912907306
499,1.1388351103,0.0052872864,0.0137340180,4.7928323030
500,1.1398340646,0.0052402712,0.0182058866,4.7953151694
501,1.1400553158,0.0049592301,0.0141776221,4.7966583064
502,1.1401563857,0.0050507812,0.0038872323,4.7955381677
503,1.1404159861,0.0050051898,0.0085046639,4.7953338150
504,1.1413491931,0.0051831189,0.0179150563,4.7969167826
505,1.1421579164,0.0055747075,0.0134320092,4.7981734439
506,1.1427092003,0.0054079395,0.0119526771,4.7988781853
507,1.1429744505,0.0055709081,0.0141177629,4.7997215401
508,1.1442388421,0.0056651350,0.0154610350,4.8012370343
509,1.1451069740,0.0059006000,0.0085993669,4.8017463119
510,1.1448714971,0.0058434959,0.0106060796,4.8021174602
511,1.1449341202,0.0057396828,0.0126859855,4.8033851902
512,1.1452104364,0.0057881996,0.0093890029,4.8037129185
513,1.1453833907,0.0060804623,0.0113594325,4.8044754625
514,1.1462336082,0.0059713272,0.0182297845,4.8065294646
515,1.1467009099,0.0058449045,0.0073544646,4.8063530491
516,1.1481693541,0.0057947187,0.0212479810,4.8096190944
517,1.1498642031,0.0060089130,0.0210208530,4.8126715777
518,1.1495989246,0.0062639475,0.0037754907,4.8105043958
519,1.1495434206,0.0059461073,0.0113230912,4.8111103981
520,1.1504215923,0.0060395199,0.0136449195,4.8127630432
521,1.1499113078,0.0058939523,0.0083478188,4.8127734617
522,1.1499138164,0.0059023619,0.0084428136,4.8131111911
523,1.1500030183,0.0058879467,0.0108604047,4.8135488560
524,1.1508327292,0.0057496711,0.0155480548,4.8154675240
525,1.1512078150,0.0059545859,0.0095455976,4.8156445072
526,1.1534642363,0.0062823872,0.0207681303,4.8191033849
527,1.1543541907,0.0064687865,0.0133918752,4.8209566139
528,1.1548455095,0.0064786927,0.0115076386,4.8219033876
529,1.1557841923,0.0063813128,0.0189564465,4.8248875658
530,1.1569526670,0.0063763680,0.0150061497,4.8270405214
531,1.1580143175,0.0065190482,0.0137725765,4.8289235137
532,1.1593265318,0.0066636362,0.0104105262,4.8297790222
533,1.1608900294,0.0068251011,0.0207071309,4.8330111565
534,1.1620934214,0.0068931458,0.0158967436,4.8347138176
535,1.1627491845,0.0068845072,0.0110236256,4.8355535039
536,1.1619545256,0.0070784704,0.0044294441,4.8345753910
537,1.1628323469,0.0070784204,0.0137901674,4.8356332391
538,1.1624286472,0.0068716950,0.0065100476,4.8347417151
539,1.1616599037,0.0066715360,0.0037634594,4.8331667313
540,1.1619024300,0.0067696619,0.0106600728,4.8334737513
541,1.1625692116,0.0064660945,0.0133510613,4.8345535538
542,1.1634363459,0.0062834330,0.0181559099,4.8365824919
543,1.1636336782,0.0064437407,0.0133557688,4.8380315531
544,1.1641128033,0.0063662889,0.0158688937,4.8396520085
545,1.1640474362,0.0064754099,0.0061157630,4.8393733342
